İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202509-12683;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.09.2025;SALI;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;1.1;17.9;0.667;0.0;0.0;0.573;77.6;ALİ KAYA;OPR-1005;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;18;2667;66.67;1;183;4.58;1;1;1;1;17.9;0.7;90;14.39;81.54;93.7;11.0
WO-202509-12684;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.09.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;2.1;27.5;0.636;0.0;0.0;1.265;72.3;ALİ KAYA;OPR-1005;2025;9;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;28;5485;137.12;2;515;12.88;1;1;1;1;27.5;0.6;80;22.81;95.67;87.1;19.01
WO-202509-12685;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.09.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;2.8;34.4;0.729;0.0;0.0;0.758;66.1;MEHMET DEMİR;OPR-1002;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;31;3007;75.17;3;393;9.83;1;1;1;1;34.4;0.7;80;17.78;77.61;87.37;12.05
WO-202509-12686;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.09.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;2.1;30.9;0.188;1.106;0.0;1.292;102.9;MUSTAFA ŞAHİN;OPR-1003;2025;9;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;AL-1350;Alüminyum Alaşım;27;7980;63.84;2;720;5.76;1;1;1;1;30.9;0.2;120;15.7;85.72;93.78;12.62
WO-202509-12687;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;1.0;30.1;0.644;0.0;0.0;0.889;79.0;ALİ KAYA;OPR-1005;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;29;4210;105.25;1;290;7.25;1;1;1;1;30.1;0.6;90;16.64;97.16;93.49;15.11
WO-202509-12688;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;0.0;7.8;0.774;0.0;0.637;0.924;40.8;SÜLEYMAN KOÇ;OPR-2005;2025;9;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;8;2265;33.98;0;135;2.02;1;1;1;1;7.8;0.8;50;18.19;85.53;93.67;14.57
WO-202509-12689;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;0.0;13.5;0.803;0.0;0.0;0.462;40.6;SÜLEYMAN KOÇ;OPR-2005;2025;9;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;12;1124;16.86;0;76;1.14;1;1;1;1;13.5;0.8;50;16.91;86.88;94.98;13.95
WO-202509-12690;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;1.1;26.3;0.825;0.0;0.0;1.058;66.4;SÜLEYMAN KOÇ;OPR-2005;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;29;4219;105.48;1;281;7.03;1;1;1;1;26.3;0.8;80;19.35;86.59;91.99;15.41
WO-202509-12691;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İZOLASYON EKSTRÜZYON;4.3;48.9;0.732;1.184;0.0;1.361;31.5;İSMAİL ÖZDEMİR;OPR-2001;2025;9;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;43;2569;38.53;4;251;3.76;1;1;1;1;48.9;0.7;50;22.83;54.23;87.08;10.78
WO-202509-12692;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;4.4;49.8;0.658;0.0;0.0;3.469;34.8;HÜSEYİN ÇELİK;OPR-1004;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;49;7235;108.52;5;865;12.97;1;1;1;1;49.8;0.7;40;52.36;81.39;88.67;37.79
WO-202509-12693;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;1.7;29.3;0.643;0.0;0.0;0.619;70.0;SÜLEYMAN KOÇ;OPR-2005;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;26;2598;64.95;2;202;5.05;1;1;1;1;29.3;0.6;90;16.66;76.78;89.38;11.43
WO-202509-12694;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;0.0;13.2;0.752;0.0;0.0;0.345;88.3;MEHMET DEMİR;OPR-1002;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;13;1829;45.73;0;121;3.03;1;1;1;1;13.2;0.8;90;11.4;91.45;91.37;9.52
WO-202509-12695;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;0.0;20.2;0.527;0.0;0.0;16.473;19.4;OSMAN YILDIZ;OPR-2002;2025;9;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;FO-SM-9;Fiber Optik Single Mode;20;19223;288.34;0;777;11.65;1;1;1;1;20.2;0.5;50;100.0;43.32;93.41;40.46
WO-202509-12696;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;0.9;31.5;0.567;0.0;0.0;0.979;71.5;MEHMET DEMİR;OPR-1002;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;29;4202;105.05;1;298;7.45;1;1;1;1;31.5;0.6;80;16.14;90.75;92.65;13.57
WO-202509-12697;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;3.0;34.9;0.513;0.0;0.0;1.115;69.6;HASAN AYDIN;OPR-2003;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;32;4659;116.48;3;591;14.78;1;1;1;1;34.9;0.5;80;22.5;86.83;88.57;17.3
WO-202509-12698;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;1.9;51.6;0.579;0.0;0.0;45.421;15.6;MUSTAFA ŞAHİN;OPR-1003;2025;9;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;54;42465;636.98;2;2335;35.02;1;1;1;1;51.6;0.6;40;100.0;34.68;97.97;33.97
WO-202509-12699;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1001;Mikro Extruder Hattı Alfa;DOLGU KAPLAMA;0.0;25.0;0.558;0.0;0.0;0.494;81.3;OSMAN YILDIZ;OPR-2002;2025;9;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;25;2409;19.27;0;91;0.73;1;1;1;1;25.0;0.6;120;13.28;67.94;92.24;8.32
WO-202509-12700;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;3.4;51.5;1.556;0.0;0.0;2.859;18.7;HÜSEYİN ÇELİK;OPR-1004;2025;9;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;54;3200;304.0;3;220;20.9;1;1;1;1;51.5;1.6;30;47.8;66.6;91.79;29.23
WO-202509-12701;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;3.5;57.0;0.614;0.0;0.0;6.355;40.0;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;51;15234;228.51;4;1266;18.99;1;1;1;1;57.0;0.6;40;72.96;96.9;89.23;63.08
WO-202509-12702;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;1.1;14.6;0.745;0.0;0.0;1.792;27.4;SÜLEYMAN KOÇ;OPR-2005;2025;9;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;15;2948;44.22;1;252;3.78;1;1;1;1;14.6;0.7;40;37.2;71.12;92.12;24.37
WO-202509-12703;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İZOLASYON EKSTRÜZYON;1.0;21.2;0.57;0.0;0.0;0.904;85.5;OSMAN YILDIZ;OPR-2002;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;24;4635;37.08;1;365;2.92;1;1;1;1;21.2;0.6;130;15.19;62.85;91.85;8.77
WO-202509-12704;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;1.1;32.2;0.571;0.0;0.0;0.747;72.1;ALİ KAYA;OPR-1005;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;33;3232;80.8;1;168;4.2;1;1;1;1;32.2;0.6;90;15.04;79.35;95.27;11.37
WO-202509-12705;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-2004;Kombine Extruder Hattı Theta;DIŞ KILIF SIVAMA;1.9;42.4;0.826;0.0;0.0;0.621;120.2;AHMET YILMAZ;OPR-1001;2025;9;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;45;4477;89.54;2;223;4.46;1;1;1;1;42.4;0.8;110;20.51;100.0;98.5;20.2
WO-202509-12706;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;0.0;10.5;0.502;0.634;0.0;0.312;124.9;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;AL-1350;Alüminyum Alaşım;10;2336;18.69;0;164;1.31;1;1;1;1;10.5;0.5;120;10.75;93.76;88.87;8.96
WO-202509-12707;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İZOLASYON EKSTRÜZYON;0.0;12.0;0.534;0.0;0.0;0.251;133.3;MEHMET DEMİR;OPR-1002;2025;9;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Elektrolitik Bakır;14;2006;16.05;0;94;0.75;1;1;1;1;12.0;0.5;130;10.13;91.15;93.62;8.64
WO-202509-12708;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DIŞ KILIF SIVAMA;2.2;32.3;0.698;0.626;0.0;2.501;44.8;İBRAHİM ÖZTÜRK;OPR-2004;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;34;6722;100.83;2;478;7.17;1;1;1;1;32.3;0.7;40;34.75;100.0;88.31;30.69
WO-202509-12709;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.09.2025;ÇARŞAMBA;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;3.0;49.1;0.176;0.66;0.0;2.473;97.8;MUSTAFA ŞAHİN;OPR-1003;2025;9;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;AL-1350;Alüminyum Alaşım;49;14513;116.1;3;1087;8.7;1;1;1;1;49.1;0.2;120;34.91;73.0;94.78;24.16
WO-202509-12710;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;4.4;46.1;0.79;0.0;0.0;3.829;36.0;SÜLEYMAN KOÇ;OPR-2005;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;42;8266;123.99;4;934;14.01;1;1;1;1;46.1;0.8;45;51.46;70.08;90.65;32.69
WO-202509-12711;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.0;30.8;0.473;0.0;0.0;0.79;67.9;MEHMET DEMİR;OPR-1002;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;33;3220;80.5;1;180;4.5;1;1;1;1;30.8;0.5;80;13.47;84.86;95.61;10.93
WO-202509-12712;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;5.5;61.7;0.612;0.0;0.0;2.509;71.5;SÜLEYMAN KOÇ;OPR-2005;2025;9;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;54;10770;269.25;5;1030;25.75;1;1;1;1;61.7;0.6;90;32.36;81.79;89.87;23.79
WO-202509-12713;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;4.5;40.3;1.386;0.0;0.0;2.509;18.6;İBRAHİM ÖZTÜRK;OPR-2004;2025;9;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;47;2806;266.57;5;314;29.83;1;1;1;1;40.3;1.4;30;52.3;55.29;90.72;26.23
WO-202509-12714;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;2.1;46.4;0.307;0.0;0.0;1.588;131.8;MEHMET DEMİR;OPR-1002;2025;9;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;Elektrolitik Bakır;51;12559;100.47;2;691;5.53;1;1;1;1;46.4;0.3;130;19.87;93.66;91.07;16.95
WO-202509-12715;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;2.1;47.7;0.662;0.0;0.0;5.713;27.7;OSMAN YILDIZ;OPR-2002;2025;9;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;48;9491;142.36;2;509;7.63;1;1;1;1;47.7;0.7;50;72.74;52.86;89.71;34.49
WO-202509-12716;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;1.1;39.6;0.501;0.0;0.0;1.048;56.0;HÜSEYİN ÇELİK;OPR-1004;2025;9;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;36;3521;52.81;1;179;2.69;1;1;1;1;39.6;0.5;50;20.99;96.63;91.73;18.61
WO-202509-12717;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;3.5;59.2;0.593;0.0;0.0;6.575;41.7;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;54;16434;246.51;4;1256;18.84;1;1;1;1;59.2;0.6;45;100.0;92.93;95.5;88.75
WO-202509-12718;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2004;Kombine Extruder Hattı Theta;ÇELİK ZIRH SARMAL;2.1;54.8;0.964;1.28;0.0;2.219;112.0;HASAN AYDIN;OPR-2003;2025;9;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;50;14908;298.16;2;692;13.84;1;1;1;1;54.8;1.0;110;36.13;95.43;96.75;33.36
WO-202509-12719;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.6;35.6;0.452;0.0;0.0;2.899;43.5;İBRAHİM ÖZTÜRK;OPR-2004;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;38;7564;113.46;3;636;9.54;1;1;1;1;35.6;0.5;40;46.72;100.0;93.44;43.66
WO-202509-12720;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;3.5;54.5;0.816;1.188;0.0;1.748;72.5;SÜLEYMAN KOÇ;OPR-2005;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;51;7610;190.25;4;640;16.0;1;1;1;1;54.5;0.8;90;35.64;88.52;92.24;29.1
WO-202509-12721;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;1.9;26.7;0.98;0.0;0.0;0.777;66.2;OSMAN YILDIZ;OPR-2002;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;31;3087;61.74;2;213;4.26;1;1;1;1;26.7;1.0;110;19.69;54.23;91.28;9.75
WO-202509-12722;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;2.8;25.6;0.753;0.0;0.0;1.862;26.9;MUSTAFA ŞAHİN;OPR-1003;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;30;3000;45.0;3;300;4.5;1;1;1;1;25.6;0.8;50;30.55;51.71;91.91;14.52
WO-202509-12723;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;0.9;16.5;0.699;0.0;0.177;0.585;72.5;MEHMET DEMİR;OPR-1002;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;17;2544;63.6;1;156;3.9;1;1;1;1;16.5;0.7;80;13.84;89.93;94.39;11.74
WO-202509-12724;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;1.0;19.4;0.567;0.0;0.0;0.919;17.8;MUSTAFA ŞAHİN;OPR-1003;2025;9;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;17;981;14.71;1;99;1.48;1;1;1;1;19.4;0.6;40;18.8;38.71;93.02;6.77
WO-202509-12725;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;0.0;10.4;0.49;1.369;0.0;0.121;139.3;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;11;1010;8.08;0;90;0.72;1;1;1;1;10.4;0.5;130;6.91;100.0;89.13;6.16
WO-202509-12726;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2004;Kombine Extruder Hattı Theta;ÇELİK ZIRH SARMAL;0.0;20.3;0.636;0.0;0.0;0.506;115.2;AHMET YILMAZ;OPR-1001;2025;9;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;18;3499;69.98;0;101;2.02;1;1;1;1;20.3;0.6;110;12.24;92.83;99.25;11.28
WO-202509-12727;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;0.9;16.4;0.755;0.0;0.226;1.155;38.0;HASAN AYDIN;OPR-2003;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;18;2631;39.46;1;219;3.28;1;1;1;1;16.4;0.8;45;23.14;80.21;90.62;16.82
WO-202509-12728;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;0.0;13.5;0.744;0.0;0.0;0.633;48.7;AHMET YILMAZ;OPR-1001;2025;9;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;AL-1350;Alüminyum Alaşım;13;1852;27.78;0;98;1.47;1;1;1;1;13.5;0.7;50;17.51;83.66;95.41;13.98
WO-202509-12729;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;6.5;45.8;0.492;0.172;0.0;3.523;35.9;MEHMET DEMİR;OPR-1002;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;51;7588;113.82;6;962;14.43;1;1;1;1;45.8;0.5;45;44.67;73.6;90.7;29.82
WO-202509-12730;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;0.0;14.1;0.772;0.0;0.0;7.938;20.9;OSMAN YILDIZ;OPR-2002;2025;9;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;13;9973;149.59;0;427;6.4;1;1;1;1;14.1;0.8;50;100.0;42.69;97.88;41.78
WO-202509-12731;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;2.2;37.6;0.62;0.0;0.0;1.064;64.1;SÜLEYMAN KOÇ;OPR-2005;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;41;4092;102.3;2;208;5.2;1;1;1;1;37.6;0.6;90;22.12;68.47;92.73;14.04
WO-202509-12732;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;2.8;47.1;0.494;0.0;0.145;1.096;69.7;MEHMET DEMİR;OPR-1002;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Elektrolitik Bakır;46;4584;114.6;3;316;7.9;1;1;1;1;47.1;0.5;80;18.95;78.62;96.68;14.4
WO-202509-12733;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;1.0;11.0;0.613;0.252;0.0;0.325;82.5;HASAN AYDIN;OPR-2003;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;11;1610;40.25;1;190;4.75;1;1;1;1;11.0;0.6;90;11.79;88.68;91.46;9.56
WO-202509-12734;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;11.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;0.0;13.7;0.539;0.0;0.0;2.156;36.0;HASAN AYDIN;OPR-2003;2025;9;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;16;4651;69.77;0;229;3.44;1;1;1;1;13.7;0.5;45;38.63;86.73;96.43;32.3
