İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202509-12891;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;1.8;24.0;0.959;0.0;0.0;0.0;1.011;61.3;SÜLEYMAN KOÇ;OPR-2005;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;25;3718;92.95;2;332;8.3;1;1;1;1;24.0;1.0;80;;;26.47;67.35;88.96;15.86
WO-202509-12892;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;1.1;34.6;0.488;0.0;0.0;0.0;0.432;127.9;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;CU-ETP;Elektrolitik Bakır;34;3319;26.55;1;181;1.45;1;1;1;1;34.6;0.5;120;;;10.39;100.0;96.0;9.97
WO-202509-12893;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;1.0;15.1;1.085;0.0;0.0;0.0;0.552;71.2;SÜLEYMAN KOÇ;OPR-2005;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;CU-ETP;Elektrolitik Bakır;16;2357;58.93;1;193;4.83;1;1;1;1;15.1;1.1;90;;;18.11;84.53;89.2;13.65
WO-202509-12894;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;3.2;25.9;0.287;0.0;0.0;0.0;0.713;134.4;AHMET YILMAZ;OPR-1001;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;29;5748;45.98;3;652;5.22;1;1;1;1;25.9;0.3;120;;;13.72;100.0;86.31;11.84
WO-202509-12895;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;1.0;27.9;0.426;0.0;0.0;0.0;1.333;102.1;MUSTAFA ŞAHİN;OPR-1003;2025;9;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;27;8166;65.33;1;374;2.99;1;1;1;1;27.9;0.4;130;;;23.4;83.66;93.26;18.26
WO-202509-12896;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DOLGU KAPLAMA;2.9;25.4;0.971;0.0;0.0;0.0;1.241;33.1;İSMAİL ÖZDEMİR;OPR-2001;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;25;2464;36.96;3;336;5.04;1;1;1;1;25.4;1.0;45;;;25.9;68.58;84.1;14.94
WO-202509-12897;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;2.2;21.5;0.85;0.0;2.144;0.0;0.852;65.4;SÜLEYMAN KOÇ;OPR-2005;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;23;3344;83.6;2;406;10.15;1;1;1;1;21.5;0.8;80;;Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);20.12;78.12;88.67;13.94
WO-202509-12898;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;17.09.2025;ÇARŞAMBA;XTR-2004;Kombine Extruder Hattı Theta;DOLGU KAPLAMA;1.7;50.3;0.796;0.0;0.0;0.0;0.689;117.0;HASAN AYDIN;OPR-2003;2025;9;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;49;4836;96.72;2;264;5.28;1;1;1;1;50.3;0.8;110;;;17.97;100.0;96.16;17.28
WO-202509-12899;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;3.2;42.5;0.725;0.0;2.142;0.0;4.152;37.9;SÜLEYMAN KOÇ;OPR-2005;2025;9;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;38;9452;141.78;3;798;11.97;1;1;1;1;42.5;0.7;45;;Anlık Arıza (Ağır Hizmet Extruder Hattı Eta - Yüksek Risk);59.86;78.49;92.29;43.36
WO-202509-12900;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;0.0;12.6;0.341;0.0;0.0;0.0;0.61;91.6;OSMAN YILDIZ;OPR-2002;2025;9;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;12;3354;26.83;0;246;1.97;1;1;1;1;12.6;0.3;130;;;11.28;76.66;94.29;8.15
WO-202509-12901;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2004;Kombine Extruder Hattı Theta;DOLGU KAPLAMA;1.1;46.1;1.192;0.0;0.0;0.0;1.182;115.7;AHMET YILMAZ;OPR-1001;2025;9;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;42;8205;164.1;1;395;7.9;1;1;1;1;46.1;1.2;110;;;31.43;100.0;94.93;29.83
WO-202509-12902;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;2.1;44.8;0.827;0.0;0.0;0.0;0.895;75.2;HASAN AYDIN;OPR-2003;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;41;4040;101.0;2;260;6.5;1;1;1;1;44.8;0.8;90;;;18.64;77.79;90.35;13.1
WO-202509-12903;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;3.6;60.0;0.83;0.0;0.0;0.0;1.465;63.1;ALİ KAYA;OPR-1005;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;56;5548;138.7;4;452;11.3;1;1;1;1;60.0;0.8;80;;;25.99;74.72;91.71;17.81
WO-202509-12904;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.0;10.3;0.904;0.0;0.0;0.0;0.338;34.0;SÜLEYMAN KOÇ;OPR-2005;2025;9;XLPE;KBL-302;YVV 3x35 mm² Ağır Sanayi;6;CU-ETP;Elektrolitik Bakır;9;690;10.35;0;30;0.45;1;1;1;1;10.3;0.9;50;;;14.84;72.18;91.63;9.81
WO-202509-12905;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2004;Kombine Extruder Hattı Theta;İZOLASYON EKSTRÜZYON;0.0;9.8;0.989;0.0;0.0;0.0;0.243;107.2;MEHMET DEMİR;OPR-1002;2025;9;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;11;1561;31.22;0;89;1.78;1;1;1;1;9.8;1.0;110;;;14.89;100.0;90.78;13.52
WO-202509-12906;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İZOLASYON EKSTRÜZYON;2.1;37.5;0.555;0.0;0.0;0.0;1.004;133.3;İSMAİL ÖZDEMİR;OPR-2001;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;CU-ETP;Elektrolitik Bakır;41;8032;64.26;2;568;4.54;1;1;1;1;37.5;0.6;130;;;19.68;98.91;94.46;18.39
WO-202509-12907;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2004;Kombine Extruder Hattı Theta;DIŞ KILIF SIVAMA;1.0;11.6;0.852;0.0;0.0;0.0;0.401;112.6;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;AL-1350;Alüminyum Alaşım;11;2708;54.16;1;292;5.84;1;1;1;1;11.6;0.9;110;;;14.21;94.28;87.01;11.65
WO-202509-12908;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;1.0;32.6;0.265;0.0;0.0;0.0;0.799;130.1;İSMAİL ÖZDEMİR;OPR-2001;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;CU-ETP;Elektrolitik Bakır;32;6234;49.87;1;366;2.93;1;1;1;1;32.6;0.3;120;;;11.51;94.37;90.12;9.79
WO-202509-12909;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;1.9;61.7;0.631;0.0;0.0;0.0;2.806;102.4;MUSTAFA ŞAHİN;OPR-1003;2025;9;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;57;17239;137.91;2;756;6.05;1;1;1;1;61.7;0.6;130;;;46.22;78.33;94.79;34.31
WO-202509-12910;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;0.0;21.8;0.326;0.0;0.0;0.0;0.263;134.9;MEHMET DEMİR;OPR-1002;2025;9;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;CU-ETP;Elektrolitik Bakır;22;2131;17.05;0;69;0.55;1;1;1;1;21.8;0.3;130;;;6.89;100.0;95.83;6.6
WO-202509-12911;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;1.1;35.0;0.649;0.0;0.0;0.0;0.852;137.5;MEHMET DEMİR;OPR-1002;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;CU-ETP;Elektrolitik Bakır;36;7029;56.23;1;371;2.97;1;1;1;1;35.0;0.6;130;;;15.98;100.0;96.28;15.39
WO-202509-12912;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;2.1;41.3;0.716;0.0;2.234;0.0;2.003;106.4;MUSTAFA ŞAHİN;OPR-1003;2025;9;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;42;12786;102.29;2;634;5.07;1;1;1;1;41.3;0.7;130;;Anlık Arıza (Yüksek Hızlı Extruder Hattı Delta - Düşük Risk);29.77;84.01;91.31;22.84
WO-202509-12913;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;0.9;36.4;0.709;0.0;1.652;0.0;2.378;42.6;HASAN AYDIN;OPR-2003;2025;9;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;41;6082;91.23;1;218;3.27;1;1;1;1;36.4;0.7;50;;Anlık Arıza (Özel Üretim Extruder Hattı Epsilon - Orta Risk);39.59;80.69;93.66;29.92
WO-202509-12914;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;1.0;17.3;0.744;0.0;0.0;0.0;0.797;71.2;SÜLEYMAN KOÇ;OPR-2005;2025;9;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;18;3404;85.1;1;396;9.9;1;1;1;1;17.3;0.7;90;;;16.65;68.98;86.48;9.93
WO-202509-12915;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;2.0;25.3;0.947;0.0;0.0;0.0;0.588;66.7;SÜLEYMAN KOÇ;OPR-2005;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;24;2352;58.8;2;248;6.2;1;1;1;1;25.3;0.9;90;;;17.76;78.95;89.17;12.5
WO-202509-12916;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;3.4;48.2;0.866;0.0;0.0;0.0;1.308;64.2;HASAN AYDIN;OPR-2003;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;51;5038;125.95;3;362;9.05;1;1;1;1;48.2;0.9;80;;;24.98;82.27;90.05;18.51
WO-202509-12917;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İZOLASYON EKSTRÜZYON;5.3;43.4;2.0;0.0;0.0;0.0;2.849;13.6;HÜSEYİN ÇELİK;OPR-1004;2025;9;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;39;2324;220.78;5;316;30.02;1;1;1;1;43.4;2.0;30;;;57.31;42.79;83.64;20.51
WO-202509-12918;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;0.0;7.8;0.705;0.0;0.0;0.0;0.441;43.3;HÜSEYİN ÇELİK;OPR-1004;2025;9;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;8;1145;17.18;0;55;0.82;1;1;1;1;7.8;0.7;45;;;12.54;100.0;91.68;11.5
WO-202509-12919;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;3.0;50.4;1.055;0.0;0.0;0.0;25.558;30.4;MEHMET DEMİR;OPR-1002;2025;9;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;8;FO-SM-9;Fiber Optik Single Mode;47;46685;700.27;3;3315;49.73;1;1;1;1;50.4;1.1;45;;;100.0;68.81;91.37;62.87
WO-202509-12920;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;18.09.2025;PERŞEMBE;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;3.8;38.2;0.687;0.0;1.642;0.0;1.707;65.3;SÜLEYMAN KOÇ;OPR-2005;2025;9;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;34;6688;167.2;4;912;22.8;1;1;1;1;38.2;0.7;80;;Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);31.73;84.29;86.02;23.01
WO-202509-12921;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;3.3;51.0;0.972;0.0;2.063;0.0;40.87;18.7;ALİ KAYA;OPR-1005;2025;9;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;8;FO-SM-9;Fiber Optik Single Mode;46;45938;689.07;3;3062;45.93;1;1;1;1;51.0;1.0;40;;Anlık Arıza (Ağır Hizmet Extruder Hattı Gamma - Yüksek Risk);100.0;46.52;93.01;43.27
WO-202509-12922;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DOLGU KAPLAMA;1.0;10.1;0.736;0.0;0.0;0.0;0.899;39.2;İSMAİL ÖZDEMİR;OPR-2001;2025;9;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;11;2114;31.71;1;286;4.29;1;1;1;1;10.1;0.7;40;;;19.19;93.42;85.41;15.31
WO-202509-12923;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;2.2;30.5;0.748;0.0;0.0;0.0;1.205;109.8;HASAN AYDIN;OPR-2003;2025;9;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;32;7938;158.76;2;562;11.24;1;1;1;1;30.5;0.7;110;;;22.48;92.01;90.36;18.69
WO-202509-12924;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;1.0;31.2;0.588;0.0;0.0;0.0;0.889;131.4;AHMET YILMAZ;OPR-1001;2025;9;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;36;7012;56.1;1;388;3.1;1;1;1;1;31.2;0.6;130;;;16.23;100.0;91.73;14.88
WO-202509-12925;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2004;Kombine Extruder Hattı Theta;ÇELİK ZIRH SARMAL;1.1;18.1;0.989;0.0;0.0;0.0;0.403;106.5;HASAN AYDIN;OPR-2003;2025;9;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;AL-1350;Alüminyum Alaşım;18;2576;51.52;1;274;5.48;1;1;1;1;18.1;1.0;110;;;18.65;97.91;90.26;16.48
WO-202509-12926;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;0.9;21.3;0.808;0.0;0.0;0.0;0.47;65.2;ALİ KAYA;OPR-1005;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;19;1838;45.95;1;162;4.05;1;1;1;1;21.3;0.8;80;;;17.4;88.53;91.27;14.06
WO-202509-12927;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;0.0;15.8;0.468;0.0;0.0;0.0;0.195;145.6;AHMET YILMAZ;OPR-1001;2025;9;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;18;1706;13.65;0;94;0.75;1;1;1;1;15.8;0.5;130;;;8.23;100.0;90.89;7.48
WO-202509-12928;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;1.1;23.2;0.351;0.0;0.0;0.0;0.237;145.6;AHMET YILMAZ;OPR-1001;2025;9;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;AL-1350;Alüminyum Alaşım;21;2069;16.55;1;131;1.05;1;1;1;1;23.2;0.4;130;;;6.38;100.0;91.49;5.84
WO-202509-12929;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;2.8;58.8;0.687;0.0;0.0;0.0;3.139;43.9;HASAN AYDIN;OPR-2003;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;56;8260;123.9;3;590;8.85;1;1;1;1;58.8;0.7;50;;;46.72;86.4;88.68;35.8
WO-202509-12930;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;6.0;51.1;0.661;0.0;1.587;0.0;1.981;78.6;ALİ KAYA;OPR-1005;2025;9;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;47;9337;233.43;6;1263;31.58;1;1;1;1;51.1;0.7;90;;Anlık Arıza (Standart Extruder Hattı Zeta - Orta Risk);35.0;78.41;87.93;24.13
WO-202509-12931;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;0.0;14.7;1.199;0.0;2.355;0.0;8.18;23.3;MUSTAFA ŞAHİN;OPR-1003;2025;9;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;15;11433;171.5;0;567;8.5;1;1;1;1;14.7;1.2;50;;Anlık Arıza (Özel Üretim Extruder Hattı Epsilon - Orta Risk);100.0;46.7;92.04;42.98
WO-202509-12932;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;2.2;24.1;1.994;0.0;0.0;0.0;1.154;19.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;9;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;23;1366;129.77;2;134;12.73;1;1;1;1;24.1;2.0;30;;;39.56;70.18;85.49;23.74
WO-202509-12933;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;5.6;50.1;1.13;0.0;0.0;0.0;2.608;29.8;HASAN AYDIN;OPR-2003;2025;9;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;47;4664;69.96;6;636;9.54;1;1;1;1;50.1;1.1;40;;;50.82;69.39;84.89;29.94
WO-202509-12934;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2004;Kombine Extruder Hattı Theta;DIŞ KILIF SIVAMA;3.4;58.6;0.977;0.0;0.0;0.0;2.302;114.2;MEHMET DEMİR;OPR-1002;2025;9;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;52;15771;315.42;3;1004;20.08;1;1;1;1;58.6;1.0;110;;;41.85;95.13;93.12;37.07
WO-202509-12935;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;1.1;28.8;0.77;0.0;0.0;0.0;2.855;29.3;OSMAN YILDIZ;OPR-2002;2025;9;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;26;5013;75.19;1;387;5.8;1;1;1;1;28.8;0.8;50;;;42.25;60.71;88.93;22.81
WO-202509-12936;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;5.6;56.3;0.805;0.0;0.0;0.0;1.787;69.0;ALİ KAYA;OPR-1005;2025;9;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;50;7392;184.8;6;1008;25.2;1;1;1;1;56.3;0.8;80;;;27.9;93.5;84.91;22.15
WO-202509-12937;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;3.2;46.4;0.704;0.0;0.0;0.0;3.921;36.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;9;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;44;8622;129.33;3;778;11.67;1;1;1;1;46.4;0.7;45;;;62.89;78.11;88.91;43.68
WO-202509-12938;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;0.0;8.3;0.954;0.0;0.0;0.0;5.368;23.3;HASAN AYDIN;OPR-2003;2025;9;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;8;FO-SM-9;Fiber Optik Single Mode;8;7503;112.55;0;497;7.46;1;1;1;1;8.3;1.0;40;;;79.65;50.82;93.1;37.69
WO-202509-12939;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;19.09.2025;CUMA;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;1.0;26.6;1.057;0.0;1.066;0.0;0.961;70.5;HASAN AYDIN;OPR-2003;2025;9;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;CU-ETP;Elektrolitik Bakır;28;4065;101.62;1;285;7.12;1;1;1;1;26.6;1.1;80;;Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);21.96;86.22;90.34;17.11
