İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10227;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;0.9;16.1;0.31;2.917;0.0;0.0;0.208;138.9;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;18;1736;13.89;1;164;1.31;1;1;1;1;16.1;0.3;130;Planlı Bakım (Pazartesi Sabah Periyodu);;11.64;100.0;85.94;10.0
WO-202506-10228;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;0.0;8.6;1.007;2.218;0.0;0.0;0.221;69.0;MEHMET DEMİR;OPR-1002;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;10;917;22.93;0;83;2.08;1;1;1;1;8.6;1.0;80;Planlı Bakım (Pazartesi Sabah Periyodu);;22.69;76.62;87.64;15.24
WO-202506-10229;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;3.7;53.3;1.151;2.722;0.0;0.0;0.951;84.5;MEHMET DEMİR;OPR-1002;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;49;4825;120.62;4;475;11.88;1;1;1;1;53.3;1.2;90;Planlı Bakım (Pazartesi Sabah Periyodu);;34.53;99.89;83.71;28.87
WO-202506-10230;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;2.0;17.4;0.669;2.051;0.0;0.0;0.517;85.1;HASAN AYDIN;OPR-2003;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;18;2640;66.0;2;360;9.0;1;1;1;1;17.4;0.7;90;Planlı Bakım (Pazartesi Sabah Periyodu);;20.68;97.95;81.73;16.56
WO-202506-10231;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;1.8;26.6;0.881;2.137;0.0;0.0;1.136;72.8;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;25;4962;124.05;2;438;10.95;1;1;1;1;26.6;0.9;90;Planlı Bakım (Pazartesi Sabah Periyodu);;32.12;82.81;88.51;23.54
WO-202506-10232;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;ÇELİK ZIRH SARMAL;0.9;25.3;1.12;2.463;0.0;0.0;1.271;104.7;HASAN AYDIN;OPR-2003;2025;6;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;27;7985;159.7;1;555;11.1;1;1;1;1;25.3;1.1;110;Planlı Bakım (Pazartesi Sabah Periyodu);;48.84;96.01;89.89;42.15
WO-202506-10233;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;1.9;19.3;0.652;2.058;0.0;0.0;2.36;41.8;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;20;5918;88.77;2;682;10.23;1;1;1;1;19.3;0.7;50;Planlı Bakım (Pazartesi Sabah Periyodu);;46.45;89.91;83.91;35.05
WO-202506-10234;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;2.3;27.6;0.897;2.617;0.0;0.0;0.779;107.1;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;26;5007;100.14;2;593;11.86;1;1;1;1;27.6;0.9;110;Planlı Bakım (Pazartesi Sabah Periyodu);;31.21;100.0;86.96;27.14
WO-202506-10235;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;ÇELİK ZIRH SARMAL;2.0;19.4;1.839;2.492;0.0;0.0;1.119;15.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;18;1057;100.42;2;143;13.59;1;1;1;1;19.4;1.8;30;Planlı Bakım (Pazartesi Sabah Periyodu);;63.01;50.36;86.53;27.46
WO-202506-10236;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;0.0;7.3;0.823;2.644;1.72;0.0;0.188;63.9;ALİ KAYA;OPR-1005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;8;722;18.05;0;78;1.95;1;1;1;1;7.3;0.8;80;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);27.83;77.22;85.93;18.47
WO-202506-10237;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;0.0;15.2;1.689;2.295;0.0;0.0;1.014;14.8;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;16;903;85.78;0;57;5.42;1;1;1;1;15.2;1.7;30;Planlı Bakım (Pazartesi Sabah Periyodu);;39.6;43.71;90.14;15.6
WO-202506-10238;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;1.8;33.4;0.498;2.554;0.0;0.0;1.751;85.6;OSMAN YILDIZ;OPR-2002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;36;8991;71.93;2;509;4.07;1;1;1;1;33.4;0.5;130;Planlı Bakım (Pazartesi Sabah Periyodu);;46.26;63.77;90.82;26.79
WO-202506-10239;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;1.7;40.8;0.842;2.769;0.0;0.0;0.899;112.2;İSMAİL ÖZDEMİR;OPR-2001;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;CU-ETP;Elektrolitik Bakır;41;6053;121.06;2;397;7.94;1;1;1;1;40.8;0.8;110;Planlı Bakım (Pazartesi Sabah Periyodu);;37.43;100.0;87.04;32.58
WO-202506-10240;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;ÇELİK ZIRH SARMAL;0.0;12.1;0.898;2.422;0.0;0.0;0.247;107.1;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;CU-ETP;Elektrolitik Bakır;11;1589;31.78;0;61;1.22;1;1;1;1;12.1;0.9;110;Planlı Bakım (Pazartesi Sabah Periyodu);;22.11;98.73;91.48;19.97
WO-202506-10241;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;5.0;56.0;0.888;2.892;0.0;0.0;1.981;35.5;İSMAİL ÖZDEMİR;OPR-2001;2025;6;XLPE;KBL-302;YVV 3x35 mm² Ağır Sanayi;6;CU-ETP;Elektrolitik Bakır;53;4224;63.36;5;416;6.24;1;1;1;1;56.0;0.9;45;Planlı Bakım (Pazartesi Sabah Periyodu);;53.68;87.7;83.38;39.25
WO-202506-10242;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;1.0;34.7;0.651;2.623;0.0;0.0;0.429;134.4;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;CU-ETP;Elektrolitik Bakır;35;3456;27.65;1;144;1.15;1;1;1;1;34.7;0.7;120;Planlı Bakım (Pazartesi Sabah Periyodu);;17.91;100.0;89.61;16.05
WO-202506-10243;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;4.7;51.6;0.676;2.346;0.0;0.358;2.202;79.4;HASAN AYDIN;OPR-2003;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;53;10489;262.23;5;1111;27.78;1;1;1;1;51.6;0.7;80;Planlı Bakım (Pazartesi Sabah Periyodu);;57.01;93.49;84.14;44.85
WO-202506-10244;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;2.2;15.0;0.822;2.031;0.0;0.0;0.494;80.1;HASAN AYDIN;OPR-2003;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;16;2376;59.4;2;324;8.1;1;1;1;1;15.0;0.8;90;Planlı Bakım (Pazartesi Sabah Periyodu);;18.27;93.85;84.76;14.54
WO-202506-10245;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;DIŞ KILIF SIVAMA;0.0;13.7;0.726;2.751;0.0;0.0;0.337;120.0;AHMET YILMAZ;OPR-1001;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;13;2429;48.58;0;171;3.42;1;1;1;1;13.7;0.7;110;Planlı Bakım (Pazartesi Sabah Periyodu);;19.2;100.0;93.03;17.86
WO-202506-10246;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;0.0;20.3;1.012;2.05;1.806;0.0;0.582;48.9;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;CU-ETP;Elektrolitik Bakır;18;1710;25.65;0;90;1.35;1;1;1;1;20.3;1.0;50;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Özel Üretim Extruder Hattı Epsilon - Orta Risk);34.76;90.64;94.43;29.75
WO-202506-10247;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;0.9;23.6;0.582;2.497;0.0;0.0;1.079;96.2;MUSTAFA ŞAHİN;OPR-1003;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;25;6229;49.83;1;271;2.17;1;1;1;1;23.6;0.6;120;Planlı Bakım (Pazartesi Sabah Periyodu);;31.59;69.31;96.25;21.08
WO-202506-10248;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;6.0;45.3;0.761;2.854;0.0;0.0;1.566;73.0;ALİ KAYA;OPR-1005;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;46;6864;171.6;6;936;23.4;1;1;1;1;45.3;0.8;90;Planlı Bakım (Pazartesi Sabah Periyodu);;51.64;70.34;88.49;32.14
WO-202506-10249;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;1.0;21.7;0.669;2.913;0.0;0.0;0.783;76.8;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;25;3605;90.12;1;295;7.38;1;1;1;1;21.7;0.7;80;Planlı Bakım (Pazartesi Sabah Periyodu);;30.84;84.7;93.22;24.35
WO-202506-10250;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;2.0;31.5;0.945;2.625;2.365;0.0;0.716;70.9;MEHMET DEMİR;OPR-1002;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;31;3049;76.23;2;251;6.28;1;1;1;1;31.5;0.9;80;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);59.44;95.07;91.27;51.57
WO-202506-10251;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;1.0;58.1;0.356;2.493;0.0;0.0;1.912;134.0;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;51;15372;122.98;1;488;3.9;1;1;1;1;58.1;0.4;130;Planlı Bakım (Pazartesi Sabah Periyodu);;42.59;87.89;94.11;35.23
WO-202506-10252;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;0.9;33.7;1.26;2.319;0.0;0.0;13.597;33.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;35;27480;412.2;1;1320;19.8;1;1;1;1;33.7;1.3;50;Planlı Bakım (Pazartesi Sabah Periyodu);;100.0;70.1;91.76;64.32
WO-202506-10253;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DOLGU KAPLAMA;1.1;46.8;1.244;2.43;0.0;0.0;16.815;33.4;AHMET YILMAZ;OPR-1001;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;43;33694;505.41;1;1506;22.59;1;1;1;1;46.8;1.2;50;Planlı Bakım (Pazartesi Sabah Periyodu);;100.0;71.0;89.75;63.72
WO-202506-10254;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;0.9;12.0;0.743;2.773;0.0;0.0;0.454;78.4;HASAN AYDIN;OPR-2003;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;11;2135;53.38;1;265;6.62;1;1;1;1;12.0;0.7;80;Planlı Bakım (Pazartesi Sabah Periyodu);;19.82;83.78;88.95;14.77
WO-202506-10255;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DOLGU KAPLAMA;4.6;54.6;0.608;2.417;0.0;0.0;5.374;37.9;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;AL-1350;Alüminyum Alaşım;49;12229;183.44;5;1271;19.06;1;1;1;1;54.6;0.6;45;Planlı Bakım (Pazartesi Sabah Periyodu);;96.04;86.6;88.42;73.54
WO-202506-10256;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;2.0;47.7;0.468;2.966;0.0;0.0;1.48;77.5;OSMAN YILDIZ;OPR-2002;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;46;6881;55.05;2;319;2.55;1;1;1;1;47.7;0.5;120;Planlı Bakım (Pazartesi Sabah Periyodu);;39.84;57.3;92.58;21.13
WO-202506-10257;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;4.4;38.3;2.071;2.477;0.0;0.0;3.258;12.0;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;40;2346;222.87;4;294;27.93;1;1;1;1;38.3;2.1;30;Planlı Bakım (Pazartesi Sabah Periyodu);;100.0;35.45;82.67;29.31
WO-202506-10258;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;09.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;1.1;14.6;0.695;2.773;0.0;0.0;0.554;61.5;SÜLEYMAN KOÇ;OPR-2005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;14;2044;51.1;1;206;5.15;1;1;1;1;14.6;0.7;80;Planlı Bakım (Pazartesi Sabah Periyodu);;22.78;65.38;86.08;12.82
WO-202506-10259;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;4.6;60.1;0.406;0.0;2.245;0.0;1.063;82.8;OSMAN YILDIZ;OPR-2002;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;53;5281;42.25;4;419;3.35;1;1;1;1;60.1;0.4;120;;Anlık Arıza (Mikro Extruder Hattı Alfa - Düşük Risk);22.68;73.39;95.0;15.81
WO-202506-10260;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;4.4;45.0;1.884;0.0;0.0;0.0;3.313;15.4;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;52;3071;291.75;4;289;27.46;1;1;1;1;45.0;1.9;30;;;57.15;49.96;84.3;24.07
WO-202506-10261;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;3.6;49.3;0.622;0.0;0.0;0.0;0.925;83.7;OSMAN YILDIZ;OPR-2002;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;47;4645;37.16;4;455;3.64;1;1;1;1;49.3;0.6;120;;;20.86;63.94;90.94;12.13
WO-202506-10262;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;0.9;10.3;0.788;0.0;0.0;0.0;0.314;70.1;HASAN AYDIN;OPR-2003;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;9;1320;33.0;1;180;4.5;1;1;1;1;10.3;0.8;80;;;14.51;80.78;80.85;9.47
WO-202506-10263;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İZOLASYON EKSTRÜZYON;0.0;13.6;0.863;0.0;0.0;0.0;0.948;34.7;MUSTAFA ŞAHİN;OPR-1003;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;AL-1350;Alüminyum Alaşım;14;1972;29.58;0;128;1.92;1;1;1;1;13.6;0.9;50;;;23.63;65.21;93.63;14.43
WO-202506-10264;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;2.9;43.0;0.662;0.0;0.0;0.0;2.214;46.4;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;42;6158;92.37;3;592;8.88;1;1;1;1;43.0;0.7;45;;;39.23;100.0;92.43;36.26
WO-202506-10265;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;3.2;30.7;0.942;0.0;2.572;0.0;1.575;30.1;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-302;YVV 3x35 mm² Ağır Sanayi;6;CU-ETP;Elektrolitik Bakır;36;2840;42.6;3;280;4.2;1;1;1;1;30.7;0.9;40;;Anlık Arıza (Ağır Hizmet Extruder Hattı Gamma - Yüksek Risk);44.45;64.38;90.19;25.81
WO-202506-10266;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;3.0;41.2;0.623;0.0;0.0;0.0;5.001;41.0;AHMET YILMAZ;OPR-1001;2025;6;PE;KBL-801;CAT6 UTP 4P Data İletişim;3;CU-ETP;Elektrolitik Bakır;41;12292;184.38;3;1128;16.92;1;1;1;1;41.2;0.6;45;;;75.73;96.04;85.53;62.21
WO-202506-10267;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;2.6;56.1;0.937;0.0;0.0;0.0;1.765;92.0;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;49;9742;194.84;3;658;13.16;1;1;1;1;56.1;0.9;110;;;31.07;77.33;89.6;21.53
WO-202506-10268;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.1;20.3;2.073;0.0;0.0;0.0;0.997;18.1;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;19;1085;103.08;1;115;10.93;1;1;1;1;20.3;2.1;30;;;37.84;66.45;87.74;22.06
WO-202506-10269;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;3.5;39.3;0.72;0.0;0.0;0.0;2.283;65.1;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;45;8920;223.0;4;880;22.0;1;1;1;1;39.3;0.7;80;;;39.65;90.49;89.55;32.13
WO-202506-10270;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;0.0;18.2;0.376;0.0;0.0;0.0;0.808;125.2;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;CU-ETP;Elektrolitik Bakır;21;6066;48.53;0;234;1.87;1;1;1;1;18.2;0.4;120;;;12.14;100.0;95.02;11.53
WO-202506-10271;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;3.1;38.9;2.017;0.0;2.921;0.0;1.824;18.4;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;34;2013;191.24;3;207;19.66;1;1;1;1;38.9;2.0;30;;Anlık Arıza (Süper Ağır Hizmet Extruder Hattı Iota - Çok Yüksek Risk);87.92;68.59;88.19;53.18
WO-202506-10272;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;10.06.2025;SALI;XTR-2004;Kombine Extruder Hattı Theta;İZOLASYON EKSTRÜZYON;1.9;41.0;0.852;0.0;0.0;0.0;2.593;88.9;MUSTAFA ŞAHİN;OPR-1003;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;CU-ETP;Elektrolitik Bakır;47;13830;276.6;2;870;17.4;1;1;1;1;41.0;0.9;110;;;39.06;79.61;94.33;29.33
WO-202506-10273;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;10.06.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;6.3;54.2;0.783;0.0;0.0;0.0;1.752;72.9;HASAN AYDIN;OPR-2003;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;52;7665;191.62;6;1035;25.88;1;1;1;1;54.2;0.8;80;;;26.63;86.7;89.13;20.57
